UniqueID,Text,Type,Category,Domain,url,RootDomain,source,DataPublishDate,ParseTime
637842,"বিরতির পর ফেরার গল্পটা সাব্বির নাসির বললেন এভাবে, ‘‘লম্বা বিরতির পর প্রথম গান রেকর্ড করি ২০১৮ সালে। তোফায়েল তপনের লেখা, মুনতাসির তুষারের সুর করা গানটির নাম ‘তুমি যদি বলো’। পরীক্ষামূলক একটা গান ছিল এটি। এরপর কোনও রকম একটা মিউজিক ভিডিও করা হয়। গানচিল মিউজিকের ব্যানারে প্রকাশ হয় এটি। এরপর গীতিকার তাহমিনা পারভিনের আগ্রহে ‘ফাগুন আসছে’ শিরোনামের একটি গানের প্রস্তাব পাই। কিন্তু তখন আমি গাইবার জন্য প্রস্তুত ছিলাম না। কারণ, নিয়মিত মিউজিক করবো কিনা তা নিয়ে দ্বিধায় ছিলাম। এরপর এটিও করে ফেললাম। মূলত এ গানটির পরই শ্রোতামহল থেকে বেশ সাড়া পাই। নিজের মধ্যে একটা আত্মবিশ্বাস তৈরি হয়। এভাবেই আবার গান ও গিটারের কাছে ফেরা।’",Paragraph,entertainment,,"https,www.banglatribune.com,/entertainment/news/637842/%E0%A6%8F%E0%A6%AC%E0%A6%BE%E0%A6%B0-%E0%A6%97%E0%A7%8D%E0%A6%B2%E0%A7%8B%E0%A6%AC%E0%A6%BE%E0%A6%B2-%E0%A6%85%E0%A6%A1%E0%A6%BF%E0%A7%9F%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%B8%E0%A7%87%E0%A6%B0-%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AF-%E0%A6%97%E0%A6%BE%E0%A6%A8-%E0%A6%95%E0%A6%B0%E0%A6%9B%E0%A7%87%E0%A6%A8-%E0%A6%B8%E0%A6%BE%E0%A6%AC%E0%A7%8D%E0%A6%AC%E0%A6%BF%E0%A6%B0,,,",https://www.banglatribune.com/,newspaper,2020-08-18T21:05:00+06:00,2020-08-19 00:17:21
637750,আজ (১৮ আগস্ট) এই নায়কের জন্মদিন। তবে বিশেষ এ দিনটি ভালো যাচ্ছে না তার। শারীরিক অসুস্থতা নিয়ে হাসপাতালে ভর্তি হতে হয়েছে তাকে। ,Paragraph,entertainment,,"https,www.banglatribune.com,/entertainment/news/637750/%E0%A6%9C%E0%A6%A8%E0%A7%8D%E0%A6%AE%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87-%E0%A6%B9%E0%A6%BE%E0%A6%B8%E0%A6%AA%E0%A6%BE%E0%A6%A4%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%B0-%E0%A6%AC%E0%A6%BF%E0%A6%9B%E0%A6%BE%E0%A6%A8%E0%A6%BE%E0%A7%9F-%E0%A6%AB%E0%A6%BE%E0%A6%B0%E0%A7%81%E0%A6%95,,,",https://www.banglatribune.com/,newspaper,2020-08-18T13:49:00+06:00,2020-08-19 00:17:22
637764,সিনেমাটি প্রযোজনার পাশাপাশি কাহিনি ও চিত্রনাট্য রচনা করেছেন জেনিফার ফেরদৌস। ,Paragraph,entertainment,,"https,www.banglatribune.com,/entertainment/news/637764/%E0%A6%8F%E0%A6%95%E0%A6%A6%E0%A6%BF%E0%A6%A8%E0%A7%87%E0%A6%B0-%E0%A6%AE%E0%A6%BE%E0%A6%A5%E0%A6%BE%E0%A7%9F-%E0%A6%B8%E0%A6%B0%E0%A7%87-%E0%A6%A6%E0%A6%BE%E0%A6%81%E0%A7%9C%E0%A6%BE%E0%A6%B2%E0%A7%87%E0%A6%A8-%E0%A6%85%E0%A6%AA%E0%A7%81,,,",https://www.banglatribune.com/,newspaper,2020-08-18T15:30:00+06:00,2020-08-19 00:17:22
637876, ,Paragraph,country,,"https,www.banglatribune.com,/country/news/637876/%E0%A6%95%E0%A6%B0%E0%A7%8B%E0%A6%A8%E0%A6%BE%E0%A7%9F-%E0%A6%AC%E0%A6%B0%E0%A7%87%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A7%8D%E0%A6%B0-%E0%A6%89%E0%A6%A8%E0%A7%8D%E0%A6%A8%E0%A7%9F%E0%A6%A8-%E0%A6%AB%E0%A7%8B%E0%A6%B0%E0%A6%BE%E0%A6%AE%E0%A7%87%E0%A6%B0-%E0%A6%B8%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%AC%E0%A7%9F%E0%A6%95%E0%A6%BE%E0%A6%B0%E0%A7%80%E0%A6%B0-%E0%A6%AE%E0%A7%83%E0%A6%A4%E0%A7%8D%E0%A6%AF%E0%A7%81,,,",https://www.banglatribune.com/,newspaper,2020-08-18T23:40:00+06:00,2020-08-19 00:17:22
637878,এসময় তিনি বিএমডিএফ’র চলমান কাজ দ্রুতগতিতে শেষ করার জোর তাগাদা দেন। এছাড়া খালিশপুর লাল হাসপাতাল সড়কের দখলদার উচ্ছেদ করে ড্রেন ও সড়কের কাজ দ্রুত শেষ করারও নির্দেশনা দেন মেয়র।,Paragraph,country,,"https,www.banglatribune.com,/country/news/637878/%E0%A6%95%E0%A7%87%E0%A6%B8%E0%A6%BF%E0%A6%B8%E0%A6%BF%E0%A6%B0-%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%95%E0%A6%B2%E0%A7%8D%E0%A6%AA%E0%A7%87-%E0%A6%95%E0%A7%8B%E0%A6%A8%E0%A6%93-%E0%A6%AE%E0%A6%BE%E0%A6%A8%E0%A6%B9%E0%A7%80%E0%A6%A8-%E0%A6%AE%E0%A6%BE%E0%A6%B2%E0%A6%BE%E0%A6%AE%E0%A6%BE%E0%A6%B2-%E0%A6%AC%E0%A7%8D%E0%A6%AF%E0%A6%AC%E0%A6%B9%E0%A6%BE%E0%A6%B0-%E0%A6%A8%E0%A7%9F,,,",https://www.banglatribune.com/,newspaper,2020-08-18T23:47:00+06:00,2020-08-19 00:17:22
637745, ,Paragraph,entertainment,,"https,www.banglatribune.com,/entertainment/news/637745/%E0%A6%85%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%B0%E0%A7%8D%E0%A6%9C%E0%A6%BE%E0%A6%B2%E0%A7%87-%E0%A6%B9%E0%A6%9A%E0%A7%8D%E0%A6%9B%E0%A7%87-%E0%A6%B8%E0%A7%87%E0%A6%B2%E0%A6%BF%E0%A6%AE-%E0%A6%86%E0%A6%B2-%E0%A6%A6%E0%A7%80%E0%A6%A8-%E0%A6%9C%E0%A7%9F%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A7%80,,,",https://www.banglatribune.com/,newspaper,2020-08-18T13:06:00+06:00,2020-08-19 00:17:23
637874, ,Paragraph,country,,"https,www.banglatribune.com,/country/news/637874/%E0%A6%AC%E0%A7%87%E0%A6%A8%E0%A6%BE%E0%A6%AA%E0%A7%8B%E0%A6%B2%E0%A7%87-%E0%A6%AF%E0%A7%81%E0%A6%AC%E0%A6%95%E0%A7%87%E0%A6%B0-%E0%A6%9D%E0%A7%81%E0%A6%B2%E0%A6%A8%E0%A7%8D%E0%A6%A4-%E0%A6%B2%E0%A6%BE%E0%A6%B6-%E0%A6%89%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BE%E0%A6%B0,,,",https://www.banglatribune.com/,newspaper,2020-08-18T23:23:00+06:00,2020-08-19 00:17:23
637663,"তিনি বলেন, ‘রাজস্ব জোগান নিশ্চিত করার লক্ষ্যে যেসব কর্মপন্থা গ্রহণ করা হয়েছে, তার মধ্যে পারসোনাল মোটর ভেহিক্যালের এআইটি বৃদ্ধি করা হয়েছে। ভুয়া টিআইএন ও কর ফাঁকি রোধে বিআরটিএ ও ই-টিআইএন যাচাইয়ে ইউজার আইডি ও পাসওয়ার্ড দেওয়ার সিদ্ধান্ত নিয়েছে এনবিআর।’",Paragraph,national,,"https,www.banglatribune.com,/national/news/637663/%E0%A6%B8%E0%A6%AC-%E0%A6%89%E0%A6%AA%E0%A6%9C%E0%A7%87%E0%A6%B2%E0%A6%BE%E0%A7%9F-%E0%A6%86%E0%A7%9F%E0%A6%95%E0%A6%B0-%E0%A6%85%E0%A6%AB%E0%A6%BF%E0%A6%B8-%E0%A6%B9%E0%A6%AC%E0%A7%87,,,",https://www.banglatribune.com/,newspaper,2020-08-17T20:28:00+06:00,2020-08-19 00:17:23
637641,সোমবার (১৭ আগস্ট) আয়কর বিভাগের রাজস্ব আদায়ের অগ্রগতি পর্যালোচনা ও পরিকল্পনা সংক্রান্ত সভা শেষে সাংবাদিকদের তিনি ভার্চুয়াল ব্রিফিংয়ে এ কথা বলেন।,Paragraph,business,,"https,www.banglatribune.com,/business/news/637641/%E0%A6%AA%E0%A7%8D%E0%A6%B0%E0%A6%AC%E0%A7%83%E0%A6%A6%E0%A7%8D%E0%A6%A7%E0%A6%BF-%E0%A6%A8%E0%A6%BF%E0%A7%9F%E0%A7%87-%E0%A6%B8%E0%A6%BF%E0%A6%AA%E0%A6%BF%E0%A6%A1%E0%A6%BF%E0%A6%B0-%E0%A6%AE%E0%A6%A8%E0%A7%8D%E0%A6%A4%E0%A6%AC%E0%A7%8D%E0%A6%AF-%E0%A6%86%E0%A6%A8%E0%A7%8D%E0%A6%A6%E0%A6%BE%E0%A6%9C%E0%A7%87%E0%A6%B0-%E0%A6%AD%E0%A6%BF%E0%A6%A4%E0%A7%8D%E0%A6%A4%E0%A6%BF%E0%A6%A4%E0%A7%87,,,",https://www.banglatribune.com/,newspaper,2020-08-17T18:12:00+06:00,2020-08-19 00:17:23
